Age,Gender,Location,Phone Brand,OS,Screen Time (hrs/day),Data Usage (GB/month),Calls Duration (mins/day),Number of Apps Installed,Social Media Time (hrs/day),E-commerce Spend (INR/month),Streaming Time (hrs/day),Gaming Time (hrs/day),Monthly Recharge Cost (INR),Primary Use
53.0,1,8,8,0,3.7,23.9,37.9,104.0,3.9,469.0,5.2,4.1,803.0,Education
60.0,2,3,6,1,9.2,28.1,13.7,169.0,2.8,4997.0,5.1,0.4,1526.0,Gaming
37.0,0,0,3,0,4.5,12.3,66.8,96.0,3.0,2381.0,1.7,2.9,1619.0,Entertainment
32.0,1,9,7,0,11.0,25.6,156.2,146.0,5.2,1185.0,3.2,0.3,1560.0,Entertainment
16.0,1,8,9,1,2.2,2.5,236.2,86.0,5.5,106.0,3.4,2.3,742.0,Social Media
21.0,1,5,5,1,5.4,10.6,210.6,25.0,4.2,6285.0,0.6,4.8,1749.0,Entertainment
57.0,0,7,0,1,6.0,35.2,154.5,123.0,0.8,2653.0,2.9,2.3,1073.0,Social Media
56.0,2,6,6,1,3.1,43.5,125.3,188.0,2.3,9767.0,5.2,5.0,1136.0,Entertainment
46.0,0,6,5,0,5.3,46.4,21.3,194.0,3.7,2870.0,6.1,2.8,1253.0,Entertainment
44.0,2,6,0,1,9.9,10.6,180.2,84.0,4.8,9193.0,7.6,0.4,168.0,Education
55.0,2,7,3,0,1.6,23.7,192.0,27.0,3.1,9330.0,1.2,2.3,1098.0,Work
41.0,0,3,5,0,7.5,23.5,84.9,187.0,0.9,643.0,3.5,2.7,151.0,Social Media
53.0,1,1,6,1,10.5,1.4,33.7,137.0,4.5,7854.0,7.2,1.4,240.0,Education
35.0,1,5,6,0,10.3,32.4,247.1,124.0,5.2,3347.0,3.8,4.5,972.0,Social Media
33.0,0,5,7,1,1.7,33.2,208.8,121.0,3.0,3185.0,4.2,0.5,1046.0,Entertainment
52.0,1,1,1,0,5.1,28.5,169.2,161.0,4.6,6175.0,4.4,4.3,1769.0,Work
46.0,2,8,0,0,3.1,23.6,153.9,183.0,2.5,6242.0,6.2,0.4,1679.0,Education
54.0,1,6,0,0,11.6,12.6,210.4,62.0,4.9,4642.0,0.9,4.1,1360.0,Entertainment
50.0,0,2,1,0,5.3,5.2,235.6,188.0,4.6,1120.0,1.0,0.8,1639.0,Work
40.0,2,4,2,1,9.0,38.9,289.6,62.0,2.4,8012.0,7.7,2.0,1224.0,Work
60.0,1,9,7,1,10.4,46.0,38.0,110.0,3.0,511.0,6.8,1.3,311.0,Social Media
59.0,2,9,9,0,11.7,9.1,203.9,101.0,5.8,2579.0,2.6,4.1,446.0,Gaming
46.0,2,2,7,0,8.1,15.5,206.8,77.0,5.9,1776.0,3.4,2.5,899.0,Social Media
16.0,0,4,8,0,1.4,25.5,222.0,141.0,1.6,1119.0,2.8,0.4,1118.0,Gaming
29.0,0,1,6,0,7.0,41.7,51.0,130.0,1.4,2604.0,3.5,1.6,1154.0,Education
